review_id,review_text,star_rating,date,business_name,business_category,platform,aspects,aspect_sentiments,removal_reason,review_bomb_group_size,review_bomb_keep_count,flag_generic_sentiment_review_bomb,flag_arabizi_like
8841,هلو كثيييييييييييييييييييييييرييييييييييييييييييييييييييييييييي يييييييييييي يييييييييييي يييييييييييي يييييييييييي,5,2026-01-29 00:00:00,Anghami,entertainment,play_store,"[""none""]","{""none"": ""neutral""}",gibberish_like,0,1,False,False
7854,ممتاز,5,2026-02-27 00:00:00,Amazon,ecommerce,play_store,"[""general""]","{""general"": ""positive""}",exact_duplicate_same_business_rating_platform,19,1,False,False
7354,ممتاز,5,2026-03-05 00:00:00,Noon,ecommerce,play_store,"[""general""]","{""general"": ""positive""}",review_bomb_duplicate,19,5,True,False
7384,ممتاز,5,2026-03-10 00:00:00,Jumia,ecommerce,play_store,"[""general""]","{""general"": ""positive""}",review_bomb_duplicate,19,5,True,False
6858,ممتاز جدا,5,2026-03-12 00:00:00,Uber,transport,play_store,"[""general""]","{""general"": ""positive""}",exact_duplicate_same_business_rating_platform,4,1,False,False
7469,ممتاز,5,2026-02-13 00:00:00,Jumia,ecommerce,play_store,"[""general""]","{""general"": ""positive""}",exact_duplicate_same_business_rating_platform,19,1,False,False
528,ممتاز,5,قبل 3 أسابيع,أبو العز السوري,مطعم مأكولات سورية,google_maps,"[""general""]","{""general"": ""positive""}",review_bomb_duplicate,19,5,True,False
5338,ممتاز,5,قبل 3 سنوات,التالته شمال للملابس الرياضية,متجر ملابس رياضية,google_maps,"[""general""]","{""general"": ""positive""}",review_bomb_duplicate,19,5,True,False
7324,ممتاز,5,2026-03-06 00:00:00,Noon,ecommerce,play_store,"[""general""]","{""general"": ""positive""}",exact_duplicate_same_business_rating_platform,19,1,False,False
9283,جاااااااامد اااااااااااااااااااااااااوووووويييي,5,2026-03-02 00:00:00,Spotify,entertainment,play_store,"[""general""]","{""general"": ""positive""}",gibberish_like,0,1,False,False
7025,ممتاز,5,2026-03-09 00:00:00,Uber,transport,play_store,"[""general""]","{""general"": ""positive""}",review_bomb_duplicate,19,5,True,False
